id,position_id,game_id,kalshi_ticker,team,strategy,total_shares,total_cost_cents,avg_cost_cents,entry_count,game_budget_used,nuclear_budget_used,shares_remaining,status,capital_recovered,capital_recovered_amount,highest_price_cents,current_mode,realized_pnl_cents,created_at,updated_at,closed_at
1,c33a7eaf-cef,401810755,KXNBAGAME-26MAR05UTAWAS-WAS,Washington Wizards,TIERED_CLASSIC,45,1800,40.0,1,1800,0,0,CLOSED_SL,0,0,45,NEUTRAL,-1080,2026-03-06 00:32:42.113191,2026-03-06 01:26:00.838020,2026-03-06 01:26:00.836295
2,ae5d4bbc-841,401810755,KXNBAGAME-26MAR05UTAWAS-WAS,Washington Wizards,TIERED,54,1782,33.0,1,1782,0,0,CLOSED_SL,0,0,0,OFFENSIVE,-918,2026-03-06 00:34:12.032683,2026-03-06 01:26:00.833324,2026-03-06 01:26:00.830578
3,e3fcef8f-a59,401810766,KXNBAGAME-26MAR06NYKDEN-NYK,New York Knicks,TIERED,49,1666,34.0,1,1666,0,0,CLOSED_TP,0,0,0,OFFENSIVE,1176,2026-03-07 02:27:48.726947,2026-03-07 02:53:48.050116,2026-03-07 02:53:48.046768
4,d8f29b88-cf9,401810766,KXNBAGAME-26MAR06NYKDEN-NYK,New York Knicks,TIERED_CLASSIC,49,1666,34.0,1,1666,0,0,CLOSED_TP,1,1311,100,NEUTRAL,2645,2026-03-07 02:27:48.732155,2026-03-07 04:21:12.202622,2026-03-07 04:21:12.195330
5,2549a7ad-204,401810768,KXNBAGAME-26MAR06LACSAS-SAS,San Antonio Spurs,CONSERVATIVE,120,2400,20.0,1,2400,0,0,CLOSED_SL,0,0,0,OFFENSIVE,-960,2026-03-07 03:34:53.291543,2026-03-07 03:56:09.987237,2026-03-07 03:56:09.983929
6,3b1391cd-f9f,401810768,KXNBAGAME-26MAR06LACSAS-SAS,San Antonio Spurs,TIERED,91,1820,20.0,1,1820,0,0,CLOSED_TP,1,1080,0,OFFENSIVE,1146,2026-03-07 03:34:53.297056,2026-03-07 04:27:44.611293,2026-03-07 04:27:44.602638
7,c9e81329-d4f,401810768,KXNBAGAME-26MAR06LACSAS-SAS,San Antonio Spurs,TIERED_CLASSIC,81,1620,20.0,1,1620,0,0,CLOSED_TP,1,1120,77,NEUTRAL,1584,2026-03-07 03:34:53.301411,2026-03-07 04:50:45.593776,2026-03-07 04:50:45.586780
8,d26c39d5-ced,401810772,KXNBAGAME-26MAR07PHIATL-ATL,Atlanta Hawks,TIERED_CLASSIC,55,2145,39.0,1,2145,0,0,CLOSED_TP,1,1540,98,NEUTRAL,2450,2026-03-08 00:02:04.002364,2026-03-08 01:19:38.725240,2026-03-08 01:19:38.721572
9,8e846f18-28b,401810777,KXNBAGAME-26MAR08NYKLAL-NYK,New York Knicks,TIERED_CLASSIC,63,2457,39.0,1,2457,0,0,CLOSED_SL,0,0,56,DEFENSIVE,-1323,2026-03-08 20:33:04.466101,2026-03-08 21:33:46.379536,2026-03-08 21:33:46.373911
10,7c7faf9f-788,401810777,KXNBAGAME-26MAR08NYKLAL-NYK,New York Knicks,CONSERVATIVE,64,2240,35.0,1,2240,0,0,CLOSED_TP,0,0,0,OFFENSIVE,1152,2026-03-08 20:34:19.472662,2026-03-08 21:12:12.639548,2026-03-08 21:12:12.633867
11,19868cf6-76a,401810777,KXNBAGAME-26MAR08NYKLAL-NYK,New York Knicks,TIERED,56,1960,35.0,1,1960,0,0,CLOSED_TP,0,0,0,OFFENSIVE,840,2026-03-08 20:34:19.478256,2026-03-08 20:40:25.837281,2026-03-08 20:40:25.835060
12,b94d4b7d-626,401810778,KXNBAGAME-26MAR08DETMIA-DET,Detroit Pistons,TIERED_CLASSIC,224,6085,27.165178571428573,3,4305,1780,0,CLOSED_SL,0,0,42,DEFENSIVE,-4517,2026-03-08 22:26:30.927575,2026-03-08 23:46:48.740786,2026-03-08 23:46:48.731342
13,35ae87bd-394,401810778,KXNBAGAME-26MAR08DETMIA-DET,Detroit Pistons,CONSERVATIVE,71,2414,34.0,1,2414,0,0,CLOSED_SL,0,0,0,OFFENSIVE,-923,2026-03-08 22:35:08.846301,2026-03-08 22:48:13.818967,2026-03-08 22:48:13.812918
14,a21358b0-5d3,401810778,KXNBAGAME-26MAR08DETMIA-DET,Detroit Pistons,TIERED,236,5712,24.203389830508474,3,3840,1872,0,CLOSED_SL,1,2310,0,OFFENSIVE,-3232,2026-03-08 22:35:08.854217,2026-03-09 00:18:56.017013,2026-03-09 00:18:56.011888
15,09afadd7-386,401810785,KXNBAGAME-26MAR08CHISAC-CHI,Chicago Bulls,CONSERVATIVE,67,2278,34.0,1,2278,0,0,CLOSED_SL,0,0,0,OFFENSIVE,-737,2026-03-09 02:00:36.998217,2026-03-09 02:26:56.480116,2026-03-09 02:26:56.475607
16,c92de8a8-e86,401810785,KXNBAGAME-26MAR08CHISAC-CHI,Chicago Bulls,TIERED,49,1666,34.0,1,1666,0,0,CLOSED_SL,0,0,0,OFFENSIVE,-980,2026-03-09 02:00:37.009592,2026-03-09 02:43:13.860327,2026-03-09 02:43:13.856593
17,7d576803-e3e,401810785,KXNBAGAME-26MAR08CHISAC-CHI,Chicago Bulls,TIERED_CLASSIC,52,1768,34.0,1,1768,0,0,CLOSED_SL,0,0,34,DEFENSIVE,-1040,2026-03-09 02:00:37.019700,2026-03-09 02:43:13.865676,2026-03-09 02:43:13.862953
